Date	Ticker	Recommendation	Call
2016-04-18	ADMS	5	Sell
2016-04-18	AEGN	4	Negative Mention
2016-04-18	CAT	2	Positive Mention
2016-04-18	CIEN	5	Sell
2016-04-18	COP	2	Positive Mention
2016-04-18	CVX	2	Positive Mention
2016-04-18	DEPO	1	Buy
2016-04-18	FIZZ	5	Sell
2016-04-18	GPS	5	Sell
2016-04-18	IBM	4	Negative Mention
2016-04-18	IONS	4	Negative Mention
2016-04-18	KO	2	Positive Mention
2016-04-18	MCD	2	Positive Mention
2016-04-18	MYGN	5	Sell
2016-04-18	OXY	1	Buy
2016-04-18	PEP	2	Positive Mention
2016-04-18	RVNC	1	Buy
2016-04-18	UNH	2	Positive Mention
2016-04-18	UTX	2	Positive Mention
2016-04-18	VZ	1	Buy
2016-04-18	WMT	2	Positive Mention
2016-04-18	XOM	2	Positive Mention
2016-04-19	AAPL	1	Buy
2016-04-19	AGCO	1	Buy
2016-04-19	BAC	2	Positive Mention
2016-04-19	CMCSA	2	Positive Mention
2016-04-19	CVX	2	Positive Mention
2016-04-19	DE	4	Negative Mention
2016-04-19	DIS	1	Buy
2016-04-19	FCX	2	Positive Mention
2016-04-19	GLNG	5	Sell
2016-04-19	GS	1	Buy
2016-04-19	IBM	2	Positive Mention
2016-04-19	K	4	Negative Mention
2016-04-19	MS	2	Positive Mention
2016-04-19	NFLX	4	Negative Mention
2016-04-19	P	5	Sell
2016-04-19	RGR	4	Negative Mention
2016-04-19	RPM	1	Buy
2016-04-19	SJM	4	Negative Mention
2016-04-19	SWHC	2	Positive Mention
2016-04-19	TWX	2	Positive Mention
2016-04-20	AXP	2	Positive Mention
2016-04-20	BAC	2	Positive Mention
2016-04-20	BMRN	1	Buy
2016-04-20	BP	5	Sell
2016-04-20	C	2	Positive Mention
2016-04-20	EXAS	5	Sell
2016-04-20	F	1	Buy
2016-04-20	FRGI	5	Sell
2016-04-20	IBM	2	Positive Mention
2016-04-20	INTC	1	Buy
2016-04-20	JPM	2	Positive Mention
2016-04-20	KKR	1	Buy
2016-04-20	KR	4	Negative Mention
2016-04-20	MS	2	Positive Mention
2016-04-20	PHM	4	Negative Mention
2016-04-20	SPLK	1	Buy
2016-04-20	WFC	1	Buy
2016-04-20	WFM	1	Buy
2016-04-20	YUM	2	Positive Mention
2016-04-21	AWK	4	Negative Mention
2016-04-21	FSLR	1	Buy
2016-04-21	GOOGL	1	Buy
2016-04-21	IP	1	Buy
2016-04-21	LRCX	1	Buy
2016-04-21	LVS	4	Negative Mention
2016-04-21	MET	2	Positive Mention
2016-04-21	MSFT	1	Buy
2016-04-21	RRD	1	Buy
2016-04-21	SBUX	1	Buy
2016-04-21	SNA	1	Buy
2016-04-21	V	1	Buy
2016-04-21	WYNN	2	Positive Mention
2016-04-22	AAPL	1	Buy
2016-04-22	AMZN	2	Positive Mention
2016-04-22	BA	4	Negative Mention
2016-04-22	BGS	4	Negative Mention
2016-04-22	BHI	2	Positive Mention
2016-04-22	CCJ	5	Sell
2016-04-22	CVX	4	Negative Mention
2016-04-22	DD	1	Buy
2016-04-22	DPZ	2	Positive Mention
2016-04-22	GE	1	Buy
2016-04-22	HAL	2	Positive Mention
2016-04-22	LUV	1	Buy
2016-04-22	MMM	2	Positive Mention
2016-04-22	MSFT	4	Negative Mention
2016-04-22	NSC	2	Positive Mention
2016-04-22	PG	4	Negative Mention
2016-04-22	SBUX	2	Positive Mention
2016-04-22	SKX	1	Buy
2016-04-22	SLB	1	Buy
2016-04-22	STI	2	Positive Mention
2016-04-22	SWN	2	Positive Mention
2016-04-22	TWTR	4	Negative Mention
2016-04-22	V	2	Positive Mention
2016-04-22	WY	1	Buy
2016-04-22	XOM	4	Negative Mention
2016-04-25	BAC	2	Positive Mention
2016-04-25	CSX	2	Positive Mention
2016-04-25	CVS	1	Buy
2016-04-25	GOOGL	4	Negative Mention
2016-04-25	HAL	2	Positive Mention
2016-04-25	HPE	1	Buy
2016-04-25	IMAX	1	Buy
2016-04-25	KBH	1	Buy
2016-04-25	LUV	1	Buy
2016-04-25	MS	2	Positive Mention
2016-04-25	MTW	1	Buy
2016-04-25	NSC	2	Positive Mention
2016-04-25	OUTR	5	Sell
2016-04-25	SLB	2	Positive Mention
2016-04-25	TPH	5	Sell
2016-04-25	UNP	2	Positive Mention
2016-04-25	WBA	1	Buy
2016-04-26	AAPL	2	Positive Mention
2016-04-26	BGC	1	Buy
2016-04-26	BJRI	4	Negative Mention
2016-04-26	CMG	2	Positive Mention
2016-04-26	EMN	1	Buy
2016-04-26	FIT	2	Positive Mention
2016-04-26	GE	1	Buy
2016-04-26	HON	1	Buy
2016-04-26	JNJ	1	Buy
2016-04-26	LMT	1	Buy
2016-04-26	MMM	1	Buy
2016-04-26	MTZ	1	Buy
2016-04-26	NSC	1	Buy
2016-04-26	PANW	1	Buy
2016-04-26	PFPT	1	Buy
2016-04-26	PXD	1	Buy
2016-04-26	Q	1	Buy
2016-04-26	SAM	4	Negative Mention
2016-04-26	STZ	1	Buy
2016-04-26	TGTX	4	Negative Mention
2016-04-27	AAPL	2	Positive Mention
2016-04-27	AIG	2	Positive Mention
2016-04-27	BA	2	Positive Mention
2016-04-27	BAX	1	Buy
2016-04-27	BSX	1	Buy
2016-04-27	BWLD	1	Buy
2016-04-27	CB	1	Buy
2016-04-27	CMG	1	Buy
2016-04-27	EW	1	Buy
2016-04-27	GE	1	Buy
2016-04-27	GOOGL	1	Buy
2016-04-27	HA	4	Negative Mention
2016-04-27	HON	1	Buy
2016-04-27	JPM	1	Buy
2016-04-27	LMT	1	Buy
2016-04-27	LUV	1	Buy
2016-04-27	MDT	1	Buy
2016-04-27	MSFT	4	Negative Mention
2016-04-27	NCLH	1	Buy
2016-04-27	TWTR	4	Negative Mention
2016-04-27	UTX	1	Buy
2016-04-27	VGR	2	Positive Mention
2016-04-27	WFC	1	Buy
2016-04-27	WRK	1	Buy
2016-04-27	XOM	1	Buy
2016-04-28	ALK	4	Negative Mention
2016-04-28	AVT	1	Buy
2016-04-28	BMY	1	Buy
2016-04-28	CYBR	1	Buy
2016-04-28	DPZ	1	Buy
2016-04-28	GHL	5	Sell
2016-04-28	GS	1	Buy
2016-04-28	LNKD	2	Positive Mention
2016-04-28	LUV	1	Buy
2016-04-28	MA	1	Buy
2016-04-28	MCD	2	Positive Mention
2016-04-28	NXPI	1	Buy
2016-04-28	PM	1	Buy
2016-04-28	PYPL	1	Buy
2016-04-28	RAI	5	Sell
2016-04-28	RRGB	5	Sell
2016-04-28	WFM	2	Positive Mention
2016-04-29	AEP	1	Buy
2016-04-29	AMT	1	Buy
2016-04-29	AMZN	1	Buy
2016-04-29	ATVI	1	Buy
2016-04-29	BX	1	Buy
2016-04-29	CLX	4	Negative Mention
2016-04-29	CMI	2	Positive Mention
2016-04-29	COLM	1	Buy
2016-04-29	CVS	2	Positive Mention
2016-04-29	DENN	4	Negative Mention
2016-04-29	EQIX	1	Buy
2016-04-29	GD	2	Positive Mention
2016-04-29	HAIN	4	Negative Mention
2016-04-29	LMT	1	Buy
2016-04-29	PSTG	4	Negative Mention
2016-04-29	RHI	5	Sell
2016-05-02	AAPL	1	Buy
2016-05-02	AMBA	5	Sell
2016-05-02	AMZN	2	Positive Mention
2016-05-02	CVX	1	Buy
2016-05-02	DDD	4	Negative Mention
2016-05-02	DFS	1	Buy
2016-05-02	IBM	2	Positive Mention
2016-05-02	IP	1	Buy
2016-05-02	ITCI	5	Sell
2016-05-02	NLY	2	Positive Mention
2016-05-02	NWL	1	Buy
2016-05-02	OXY	1	Buy
2016-05-02	SHW	1	Buy
2016-05-02	XOM	1	Buy
2016-05-02	XRX	1	Buy
2016-05-03	AAPL	1	Buy
2016-05-03	AMZN	1	Buy
2016-05-03	BOFI	5	Sell
2016-05-03	CMG	1	Buy
2016-05-03	COR	2	Positive Mention
2016-05-03	COST	1	Buy
2016-05-03	CSX	5	Sell
2016-05-03	CVS	1	Buy
2016-05-03	CY	1	Buy
2016-05-03	DIN	4	Negative Mention
2016-05-03	HAWK	2	Positive Mention
2016-05-03	NFLX	1	Buy
2016-05-03	NSC	2	Positive Mention
2016-05-03	OXY	1	Buy
2016-05-03	PFE	1	Buy
2016-05-03	SBUX	1	Buy
2016-05-03	STX	5	Sell
2016-05-03	TEP	5	Sell
2016-05-03	THS	1	Buy
2016-05-03	UNP	1	Buy
2016-05-04	BIDU	5	Sell
2016-05-04	BOJA	1	Buy
2016-05-04	CLX	1	Buy
2016-05-04	HAIN	1	Buy
2016-05-04	INO	2	Positive Mention
2016-05-04	JNJ	1	Buy
2016-05-04	KMI	5	Sell
2016-05-04	MCD	1	Buy
2016-05-04	NOW	1	Buy
2016-05-04	RKUS	5	Sell
2016-05-04	SQ	4	Negative Mention
2016-05-04	STAY	4	Negative Mention
2016-05-04	SWHC	4	Negative Mention
2016-05-04	TREE	1	Buy
2016-05-04	TWX	2	Positive Mention
2016-05-05	AAPL	1	Buy
2016-05-05	ALL	2	Positive Mention
2016-05-05	BUD	2	Positive Mention
2016-05-05	CB	2	Positive Mention
2016-05-05	CVRR	5	Sell
2016-05-05	DAL	5	Sell
2016-05-05	EPD	4	Negative Mention
2016-05-05	FIT	4	Negative Mention
2016-05-05	GE	1	Buy
2016-05-05	KHC	1	Buy
2016-05-05	LNG	5	Sell
2016-05-05	LUV	1	Buy
2016-05-05	SAM	5	Sell
2016-05-05	STZ	1	Buy
2016-05-05	TAP	1	Buy
2016-05-05	TSLA	4	Negative Mention
2016-05-05	VG	5	Sell
2016-05-05	VZ	1	Buy
2016-05-05	WBA	4	Negative Mention
2016-05-05	ZTS	1	Buy
2016-05-06	ABC	5	Sell
2016-05-06	AMP	1	Buy
2016-05-06	BA	1	Buy
2016-05-06	DIS	1	Buy
2016-05-06	F	2	Positive Mention
2016-05-06	FDX	4	Negative Mention
2016-05-06	GM	2	Positive Mention
2016-05-06	HMC	4	Negative Mention
2016-05-06	JACK	4	Negative Mention
2016-05-06	JWN	4	Negative Mention
2016-05-06	KSS	4	Negative Mention
2016-05-06	M	4	Negative Mention
2016-05-06	MCD	2	Positive Mention
2016-05-06	MLM	1	Buy
2016-05-06	NCLH	4	Negative Mention
2016-05-06	NXPI	1	Buy
2016-05-06	PRGO	4	Negative Mention
2016-05-06	Q	1	Buy
2016-05-06	RL	4	Negative Mention
2016-05-06	SWKS	5	Sell
2016-05-06	TEVA	4	Negative Mention
2016-05-06	TMUS	1	Buy
2016-05-06	TRST	4	Negative Mention
2016-05-06	W	2	Positive Mention
2016-05-06	WEN	4	Negative Mention
2016-05-06	WYNN	2	Positive Mention
2016-05-09	CRM	1	Buy
2016-05-09	DEPO	4	Negative Mention
2016-05-09	DNR	5	Sell
2016-05-09	FCX	4	Negative Mention
2016-05-09	FRT	1	Buy
2016-05-09	IDTI	1	Buy
2016-05-09	ILMN	5	Sell
2016-05-09	KIM	1	Buy
2016-05-09	ORCL	1	Buy
2016-05-09	SPG	1	Buy
2016-05-09	TMO	1	Buy
2016-05-10	ACN	1	Buy
2016-05-10	AMZN	1	Buy
2016-05-10	AVP	4	Negative Mention
2016-05-10	BGS	1	Buy
2016-05-10	CLX	1	Buy
2016-05-10	CPB	1	Buy
2016-05-10	CTL	5	Sell
2016-05-10	FRT	1	Buy
2016-05-10	FTNT	1	Buy
2016-05-10	GOOGL	1	Buy
2016-05-10	HAS	1	Buy
2016-05-10	HD	1	Buy
2016-05-10	HON	1	Buy
2016-05-10	IRBT	1	Buy
2016-05-10	JNJ	1	Buy
2016-05-10	MCD	1	Buy
2016-05-10	MFA	5	Sell
2016-05-10	MMM	1	Buy
2016-05-10	NFLX	1	Buy
2016-05-10	PCG	1	Buy
2016-05-10	PEP	1	Buy
2016-05-10	VTR	1	Buy
2016-05-10	WDAY	1	Buy
2016-05-10	XRX	1	Buy
2016-05-11	AAPL	1	Buy
2016-05-11	ABBV	1	Buy
2016-05-11	ACAD	4	Negative Mention
2016-05-11	ALB	1	Buy
2016-05-11	ATR	1	Buy
2016-05-11	CSL	1	Buy
2016-05-11	DIS	1	Buy
2016-05-11	EA	1	Buy
2016-05-11	HAS	1	Buy
2016-05-11	IFF	1	Buy
2016-05-11	M	5	Sell
2016-05-11	MA	1	Buy
2016-05-11	MAIN	5	Sell
2016-05-11	MDT	1	Buy
2016-05-11	MITK	1	Buy
2016-05-11	PH	1	Buy
2016-05-11	PNRA	1	Buy
2016-05-11	ROK	1	Buy
2016-05-11	RPM	1	Buy
2016-05-11	SPLS	5	Sell
2016-05-11	SSTK	1	Buy
2016-05-11	STX	5	Sell
2016-05-11	TA	4	Negative Mention
2016-05-12	AAPL	4	Negative Mention
2016-05-12	AMZN	2	Positive Mention
2016-05-12	AVGO	1	Buy
2016-05-12	DPZ	2	Positive Mention
2016-05-12	DRI	2	Positive Mention
2016-05-12	FISV	1	Buy
2016-05-12	HD	1	Buy
2016-05-12	JACK	2	Positive Mention
2016-05-12	K	2	Positive Mention
2016-05-12	KSS	5	Sell
2016-05-12	LOGM	5	Sell
2016-05-12	M	5	Sell
2016-05-12	MCD	2	Positive Mention
2016-05-12	MTCH	1	Buy
2016-05-12	PSA	1	Buy
2016-05-12	SFM	4	Negative Mention
2016-05-12	SRCL	5	Sell
2016-05-12	ULTA	1	Buy
2016-05-12	WFM	4	Negative Mention
2016-05-12	YUM	2	Positive Mention
2016-05-13	A	1	Buy
2016-05-13	AGCO	1	Buy
2016-05-13	AMZN	2	Positive Mention
2016-05-13	CPB	2	Positive Mention
2016-05-13	CRM	2	Positive Mention
2016-05-13	CSCO	2	Positive Mention
2016-05-13	DE	2	Positive Mention
2016-05-13	DKS	2	Positive Mention
2016-05-13	HD	1	Buy
2016-05-13	LOW	2	Positive Mention
2016-05-13	NKE	2	Positive Mention
2016-05-13	TGT	1	Buy
2016-05-13	TJX	3	Hold
2016-05-13	WMT	4	Negative Mention
2016-05-16	AAPL	4	Negative Mention
2016-05-16	AMT	1	Buy
2016-05-16	AXP	2	Positive Mention
2016-05-16	BA	4	Negative Mention
2016-05-16	CAT	2	Positive Mention
2016-05-16	CCI	2	Positive Mention
2016-05-16	CELG	2	Positive Mention
2016-05-16	CSCO	1	Buy
2016-05-16	CVX	2	Positive Mention
2016-05-16	DD	1	Buy
2016-05-16	DIS	1	Buy
2016-05-16	DVN	4	Negative Mention
2016-05-16	EOG	2	Positive Mention
2016-05-16	GE	1	Buy
2016-05-16	GS	4	Negative Mention
2016-05-16	HD	2	Positive Mention
2016-05-16	IBM	2	Positive Mention
2016-05-16	INTC	4	Negative Mention
2016-05-16	JNJ	1	Buy
2016-05-16	JPM	4	Negative Mention
2016-05-16	KMI	1	Buy
2016-05-16	KO	4	Negative Mention
2016-05-16	MCD	1	Buy
2016-05-16	MGM	1	Buy
2016-05-16	MGP	1	Buy
2016-05-16	MMM	2	Positive Mention
2016-05-16	MRK	5	Sell
2016-05-16	NKE	4	Negative Mention
2016-05-16	OXY	1	Buy
2016-05-16	PANW	1	Buy
2016-05-16	PG	2	Positive Mention
2016-05-16	SBAC	2	Positive Mention
2016-05-16	TRV	1	Buy
2016-05-16	UNH	2	Positive Mention
2016-05-16	UTX	2	Positive Mention
2016-05-16	V	2	Positive Mention
2016-05-16	VZ	2	Positive Mention
2016-05-16	WMT	5	Sell
