Company,Ticker,Date,Call
Lululemon Athletica ,LULU,27/3/2018,Positive Mention
Penn National Gaming ,PENN,14/7/2020,Buy
Simon Property Group ,SPG,13/11/2020,Buy
PVH Corp ,PVH,25/5/2016,Buy
Broadcom ,AVGO,2/6/2016,Positive Mention
Oramed Pharmaceuticals ,ORMP,5/8/2021,Buy
Kohl's ,KSS,13/11/2020,Negative Mention
Apple ,AAPL,30/7/2020,Buy
United Continental ,UAL,15/1/2019,Buy
Tesla ,TSLA,1/4/2021,Buy
Tesla ,TSLA,7/2/2020,Buy
Teladoc ,TDOC,5/8/2020,Buy
Darden Restaurants ,DRI,8/4/2020,Buy
Dropbox ,DBX,23/3/2018,Buy
SolarEdge Technologies ,SEDG,6/11/2020,Negative Mention
FedEx ,FDX,15/9/2020,Buy
Simon Property Group ,SPG,15/5/2020,Negative Mention
Inovio Pharmaceuticals ,INO,21/4/2020,Buy
Gap ,GPS,14/7/2020,Sell
Fuelcell Energy ,FCEL,15/6/2020,Sell
Revolve Group ,RVLV,19/12/2019,Buy
U.S. Concrete ,USCR,8/4/2020,Negative Mention
Kite Pharma ,KITE,8/11/2016,Negative Mention
Enphase Energy ,ENPH,13/9/2019,Negative Mention
Mattel ,MAT,21/10/2021,Buy
First Data ,FDC,14/11/2018,Negative Mention
The RealReal ,REAL,14/8/2019,Buy
Qualtrics ,XM,20/10/2021,Buy
Aspen Aerogels ,ASPN,9/2/2021,Buy
Texas Instruments ,TXN,25/7/2016,Buy
Thermo Fisher Scientific ,TMO,16/3/2020,Positive Mention
Airbnb ,ABNB,25/2/2021,Buy
Digi International Inc ,DGII,10/8/2020,Positive Mention
Aimmune Therapeutics ,AIMT,4/2/2020,Negative Mention
PVH Corp ,PVH,23/8/2017,Buy
Howard Hughes ,HHC,11/6/2020,Sell
Levi Strauss ,LEVI,3/4/2020,Negative Mention
Zoom Video Communications ,ZM,27/2/2020,Buy
Smith & Wesson Brands ,SWBI,11/6/2020,Negative Mention
Unilever ,UL,18/1/2022,Positive Mention
Netflix ,NFLX,18/1/2017,Positive Mention
Clean Harbors ,CLH,6/11/2020,Buy
Versum Materials ,VSM,19/5/2017,Buy
Fitbit ,FIT,2/8/2017,Sell
Hasbro ,HAS,21/4/2017,Buy
Grocery Outlet ,GO,11/11/2019,Buy
Plug Power ,PLUG,12/1/2021,Positive Mention
Northrop Grumman ,NOC,8/11/2016,Buy
Lyft ,LYFT,2/6/2020,Negative Mention
Moderna ,MRNA,25/2/2021,Buy
Cardlytics ,CDLX,12/3/2020,Negative Mention
Palo Alto Networks ,PANW,22/2/2022,Buy
Clover Health Investments ,CLOV,21/7/2021,Sell
AgEagle Aerial Systems ,UAVS,12/2/2021,Positive Mention
Baidu.com ,BIDU,26/4/2018,Buy
Salesforce ,CRM,22/8/2019,Buy
Western Digital ,WDC,6/12/2016,Buy
Cisco Systems ,CSCO,6/11/2020,Buy
Lexicon Pharmaceuticals ,LXRX,5/10/2021,Buy
Futu 0ings ,FUTU,23/8/2021,Sell
Carvana ,CVNA,21/4/2022,Sell
MGM Resorts ,MGM,4/11/2016,Positive Mention
Estee Lauder ,EL,30/10/2020,Buy
Vivint Solar ,VSLR,7/8/2018,Sell
Coinbase Global ,COIN,14/4/2021,Buy
Dominion Energy ,D,12/3/2020,Buy
Simon Property Group ,SPG,27/4/2020,Buy
Northern Genesis Acquisit ,NGA,14/1/2021,Buy
Asana ,ASAN,6/12/2021,Sell
Rattler Midstream LP ,RTLR,3/2/2022,Buy
CVS Health ,CVS,6/11/2020,Buy
Planet Fitness ,PLNT,4/11/2021,Buy
Analog Devices ,ADI,26/7/2016,Positive Mention
Workhorse Group ,WKHS,13/7/2020,Positive Mention
Netflix ,NFLX,26/1/2022,Negative Mention
Qualcomm ,QCOM,12/3/2020,Buy
Workhorse Group ,WKHS,1/7/2020,Sell
iQIYI ,IQ,13/11/2018,Sell
Zuora ,ZUO,24/8/2018,Buy
General Motors ,GM,12/1/2021,Buy
Mattel ,MAT,27/7/2021,Buy
Mattel ,MAT,27/7/2021,Buy
Twilio ,TWLO,12/3/2020,Negative Mention
Boeing ,BA,17/11/2020,Buy
DineEquity ,DIN,13/4/2020,Sell
Brookfield Infrastructure ,BIP,6/4/2020,Sell
Kratos Defense & Security ,KTOS,10/2/2017,Buy
Apple ,AAPL,1/8/2017,Buy
Revolve Group ,RVLV,12/6/2019,Buy
Lemonade ,LMND,6/11/2020,Buy
United Micro Electronics ,UMC,17/5/2021,Buy
TransEnterix ,TRXC,30/11/2018,Buy
Ford Motor ,F,28/10/2020,Buy
Kohl's ,KSS,27/4/2020,Sell
Penn National Gaming ,PENN,7/4/2020,Buy
XPO Logistics ,XPO,9/5/2022,Buy
Boyd Gaming ,BYD,7/4/2020,Sell
AquaBounty Technologies ,AQB,10/12/2020,Positive Mention
Chemed ,CHE,28/4/2020,Sell
PayPal ,PYPL,19/10/2017,Buy
Macy's ,M,23/11/2020,Buy
AbbVie ,ABBV,12/3/2020,Buy
Invitae ,NVTA,10/1/2020,Buy
Beyond Meat ,BYND,26/5/2021,Buy
Finisar ,FNSR,8/12/2016,Buy
Delta Air Lines ,DAL,16/4/2020,Negative Mention
Broadcom ,AVGO,8/12/2016,Positive Mention
Diamondback Energy ,FANG,9/4/2020,Positive Mention
Nano Dimension ,NNDM,11/12/2020,Negative Mention
Walmart ,WMT,14/8/2019,Buy
Wynn Resorts ,WYNN,13/11/2020,Buy
Azek Company ,AZEK,11/12/2020,Buy
Salesforce ,CRM,27/5/2021,Buy
InMode ,INMD,11/10/2019,Buy
Canopy Growth ,CGC,9/3/2020,Sell
Foley Trasimene Acquisiti ,BFT,20/1/2021,Buy
GrowGeneration ,GRWG,18/8/2020,Buy
