Date,Buy,Sell,Negative Mention,Positive Mention
2016-04-18,"DEPO,OXY,RVNC,VZ","ADMS,CIEN,FIZZ,GPS,MYGN","AEGN,IBM,IONS","CAT,COP,CVX,KO,MCD,PEP,UNH,UTX,WMT,XOM"
2016-04-19,"AAPL,AGCO,DIS,GS,RPM","GLNG,P","DE,K,NFLX,RGR,SJM","BAC,CMCSA,CVX,FCX,IBM,MS,SWHC,TWX"
2016-04-20,"BMRN,F,INTC,KKR,SPLK,WFC,WFM","BP,EXAS,FRGI","KR,PHM","AXP,BAC,C,IBM,JPM,MS,YUM"
2016-04-21,"FSLR,GOOGL,IP,LRCX,MSFT,RRD,SBUX,SNA,V",,"AWK,LVS","MET,WYNN"
2016-04-22,"AAPL,DD,GE,LUV,SKX,SLB,WY",CCJ,"BA,BGS,CVX,MSFT,PG,TWTR,XOM","AMZN,BHI,DPZ,HAL,MMM,NSC,SBUX,STI,SWN,V"
2016-04-25,"CVS,HPE,IMAX,KBH,LUV,MTW,WBA","OUTR,TPH",GOOGL,"BAC,CSX,HAL,MS,NSC,SLB,UNP"
2016-04-26,"BGC,EMN,GE,HON,JNJ,LMT,MMM,MTZ,NSC,PANW,PFPT,PXD,Q,STZ",,"BJRI,SAM,TGTX","AAPL,CMG,FIT"
2016-04-27,"BAX,BSX,BWLD,CB,CMG,EW,GE,GOOGL,HON,JPM,LMT,LUV,MDT,NCLH,UTX,WFC,WRK,XOM",,"HA,MSFT,TWTR","AAPL,AIG,BA,VGR"
2016-04-28,"AVT,BMY,CYBR,DPZ,GS,LUV,MA,NXPI,PM,PYPL","GHL,RAI,RRGB",ALK,"LNKD,MCD,WFM"
2016-04-29,"AEP,AMT,AMZN,ATVI,BX,COLM,EQIX,LMT",RHI,"CLX,DENN,HAIN,PSTG","CMI,CVS,GD"
2016-05-02,"AAPL,CVX,DFS,IP,NWL,OXY,SHW,XOM,XRX","AMBA,ITCI",DDD,"AMZN,IBM,NLY"
2016-05-03,"AAPL,AMZN,CMG,COST,CVS,CY,NFLX,OXY,PFE,SBUX,THS,UNP","BOFI,CSX,STX,TEP",DIN,"COR,HAWK,NSC"
2016-05-04,"BOJA,CLX,HAIN,JNJ,MCD,NOW,TREE","BIDU,KMI,RKUS","SQ,STAY,SWHC","INO,TWX"
2016-05-05,"AAPL,GE,KHC,LUV,STZ,TAP,VZ,ZTS","CVRR,DAL,LNG,SAM,VG","EPD,FIT,TSLA,WBA","ALL,BUD,CB"
2016-05-06,"AMP,BA,DIS,MLM,NXPI,Q,TMUS","ABC,SWKS","FDX,HMC,JACK,JWN,KSS,M,NCLH,PRGO,RL,TEVA,TRST,WEN","F,GM,MCD,W,WYNN"
2016-05-09,"CRM,FRT,IDTI,KIM,ORCL,SPG,TMO","DNR,ILMN","DEPO,FCX",
2016-05-10,"ACN,AMZN,BGS,CLX,CPB,FRT,FTNT,GOOGL,HAS,HD,HON,IRBT,JNJ,MCD,MMM,NFLX,PCG,PEP,VTR,WDAY,XRX","CTL,MFA",AVP,
2016-05-11,"AAPL,ABBV,ALB,ATR,CSL,DIS,EA,HAS,IFF,MA,MDT,MITK,PH,PNRA,ROK,RPM,SSTK","M,MAIN,SPLS,STX","ACAD,TA",
2016-05-12,"AVGO,FISV,HD,MTCH,PSA,ULTA","KSS,LOGM,M,SRCL","AAPL,SFM,WFM","AMZN,DPZ,DRI,JACK,K,MCD,YUM"
2016-05-13,"A,AGCO,HD,TGT",,WMT,"AMZN,CPB,CRM,CSCO,DE,DKS,LOW,NKE"
2016-05-16,"AMT,CSCO,DD,DIS,GE,JNJ,KMI,MCD,MGM,MGP,OXY,PANW,TRV,ZOES","MRK,WMT","AAPL,BA,DVN,GS,INTC,JPM,KO,NKE","AXP,CAT,CCI,CELG,CVX,EOG,HD,IBM,MMM,PG,SBAC,UNH,UTX,V,VZ,XOM"
2016-05-17,"BAX,HD,IDXX,PETS,THS,TJX,ZTS",,"AMD,CLX,HAWK,TREE","AMZN,FRPT,GILD"
2016-05-18,"AMZN,CMG,CRM,CYBR,EW,JPM,LOW,NXPI,TSLA,ULTA,Z",GLW,TGT,IDTI
